Country Name	Country Code	Series Name	Series Code	2011
Botswana	BWA	Account used to receive wages (% age 15+)	GFDD.AI.11	10.93008
Brazil	BRA	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	53.36303
Brazil	BRA	Account used to receive government payments (% age 15+)	GFDD.AI.09	19.67232
Brazil	BRA	Account used to receive remittances (% age 15+)	GFDD.AI.10	4.707896
Brazil	BRA	Account used to receive wages (% age 15+)	GFDD.AI.11	28.8664
Brunei Darussalam	BRN	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	..
Brunei Darussalam	BRN	Account used to receive government payments (% age 15+)	GFDD.AI.09	..
Brunei Darussalam	BRN	Account used to receive remittances (% age 15+)	GFDD.AI.10	..
Brunei Darussalam	BRN	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Bulgaria	BGR	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	48.18393
Bulgaria	BGR	Account used to receive government payments (% age 15+)	GFDD.AI.09	6.00252
Bulgaria	BGR	Account used to receive remittances (% age 15+)	GFDD.AI.10	5.636611
Bulgaria	BGR	Account used to receive wages (% age 15+)	GFDD.AI.11	30.65267
Burkina Faso	BFA	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	12.91181
Burkina Faso	BFA	Account used to receive government payments (% age 15+)	GFDD.AI.09	1.350335
Burkina Faso	BFA	Account used to receive remittances (% age 15+)	GFDD.AI.10	1.201724
Burkina Faso	BFA	Account used to receive wages (% age 15+)	GFDD.AI.11	2.33215
Burundi	BDI	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	6.565804
Burundi	BDI	Account used to receive government payments (% age 15+)	GFDD.AI.09	2.160687
Burundi	BDI	Account used to receive remittances (% age 15+)	GFDD.AI.10	1.450872
Burundi	BDI	Account used to receive wages (% age 15+)	GFDD.AI.11	2.38263
Cambodia	KHM	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	3.225011
Cambodia	KHM	Account used to receive government payments (% age 15+)	GFDD.AI.09	0.1256507
Cambodia	KHM	Account used to receive remittances (% age 15+)	GFDD.AI.10	1.207022
Cambodia	KHM	Account used to receive wages (% age 15+)	GFDD.AI.11	1.098395
Cameroon	CMR	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	12.87727
Cameroon	CMR	Account used to receive government payments (% age 15+)	GFDD.AI.09	2.110757
Cameroon	CMR	Account used to receive remittances (% age 15+)	GFDD.AI.10	1.417501
Cameroon	CMR	Account used to receive wages (% age 15+)	GFDD.AI.11	2.375619
Canada	CAN	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	94.32471
Canada	CAN	Account used to receive government payments (% age 15+)	GFDD.AI.09	64.63709
Canada	CAN	Account used to receive remittances (% age 15+)	GFDD.AI.10	12.68449
Canada	CAN	Account used to receive wages (% age 15+)	GFDD.AI.11	56.31657
Cape Verde	CPV	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	..
Cape Verde	CPV	Account used to receive government payments (% age 15+)	GFDD.AI.09	..
Cape Verde	CPV	Account used to receive remittances (% age 15+)	GFDD.AI.10	..
Cape Verde	CPV	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Cayman Islands	CYM	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	..
Cayman Islands	CYM	Account used to receive government payments (% age 15+)	GFDD.AI.09	..
Cayman Islands	CYM	Account used to receive remittances (% age 15+)	GFDD.AI.10	..
Cayman Islands	CYM	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Central African Republic	CAF	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	3.300809
Central African Republic	CAF	Account used to receive government payments (% age 15+)	GFDD.AI.09	0.9885551
Central African Republic	CAF	Account used to receive remittances (% age 15+)	GFDD.AI.10	0.6119933
Central African Republic	CAF	Account used to receive wages (% age 15+)	GFDD.AI.11	1.214321
Chad	TCD	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	8.657588
Chad	TCD	Account used to receive government payments (% age 15+)	GFDD.AI.09	2.538898
Chad	TCD	Account used to receive remittances (% age 15+)	GFDD.AI.10	2.585062
Chad	TCD	Account used to receive wages (% age 15+)	GFDD.AI.11	4.420792
Chile	CHL	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	38.73519
Chile	CHL	Account used to receive government payments (% age 15+)	GFDD.AI.09	5.708934
Chile	CHL	Account used to receive remittances (% age 15+)	GFDD.AI.10	4.028991
Chile	CHL	Account used to receive wages (% age 15+)	GFDD.AI.11	20.21165
China	CHN	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	53.38205
China	CHN	Account used to receive government payments (% age 15+)	GFDD.AI.09	7.047378
China	CHN	Account used to receive remittances (% age 15+)	GFDD.AI.10	9.073106
China	CHN	Account used to receive wages (% age 15+)	GFDD.AI.11	18.66488
Colombia	COL	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	28.15157
Colombia	COL	Account used to receive government payments (% age 15+)	GFDD.AI.09	4.284166
Colombia	COL	Account used to receive remittances (% age 15+)	GFDD.AI.10	3.246623
Colombia	COL	Account used to receive wages (% age 15+)	GFDD.AI.11	18.83244
Comoros	COM	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	20.96321
Comoros	COM	Account used to receive government payments (% age 15+)	GFDD.AI.09	5.127679
Comoros	COM	Account used to receive remittances (% age 15+)	GFDD.AI.10	4.019893
Comoros	COM	Account used to receive wages (% age 15+)	GFDD.AI.11	5.913832
"Congo, Dem. Rep."	ZAR	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	3.696726
"Congo, Dem. Rep."	ZAR	Account used to receive government payments (% age 15+)	GFDD.AI.09	0.1237075
"Congo, Dem. Rep."	ZAR	Account used to receive remittances (% age 15+)	GFDD.AI.10	1.16922
"Congo, Dem. Rep."	ZAR	Account used to receive wages (% age 15+)	GFDD.AI.11	1.119791
"Congo, Rep."	COG	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	8.365724
"Congo, Rep."	COG	Account used to receive government payments (% age 15+)	GFDD.AI.09	1.407297
"Congo, Rep."	COG	Account used to receive remittances (% age 15+)	GFDD.AI.10	2.271717
"Congo, Rep."	COG	Account used to receive wages (% age 15+)	GFDD.AI.11	2.246932
Costa Rica	CRI	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	47.61157
Costa Rica	CRI	Account used to receive government payments (% age 15+)	GFDD.AI.09	13.46569
Costa Rica	CRI	Account used to receive remittances (% age 15+)	GFDD.AI.10	8.959165
