Country,Concept,Data Source,Status,Unit,Scale,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Samoa,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,81.76,94.71,97.96,95.802,120.835,132.789,208.94,236.323,162.013,168.066
Samoa,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,46.63,49.48,62.95,67.905,70.884,67.853,70.012,77.073,86.133,93.014
Sao Tome and Principe,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,160002.7,119249.71,210634.625,303031.78879995,417118.5781456,495795.19961344,606230.89103085,558054.09152149,554049.32618012,712469.23369083
Sao Tome and Principe,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,63101.1,67154.8,81102.56,102703.521966,126238.74164,140505.4441485,167436.9303845,190713.852706,203577.447729,217070.522251
Saudi Arabia,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,,,,,,,,0.382916666666667,0.332191666666667,0.385716666666667
"Serbia, Republic of",Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,116093,148866.4,249117.9,400068,440708.5,517646.3,539172,542227.2,614980,632159
"Serbia, Republic of",Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,47076.6,49445.7,60703.2,78666.7,92613.5,108817.9,112924.9,109626.7,132400.9,136106.5
"Serbia, Republic of","Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,20.02,21.170960798889,14.5806941656355,10.24,4.42,9.61,10.34,14.16,11.51,12.32
Seychelles,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,577.81595639,1055.1454236,1091.37484195,1448.12342306,1113.05332058,1119.91264796,1295.89519569,1746.17221886,1698.68241775,1816.42568506
Seychelles,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,326.00382314,314.50133463,344.84283049,417.15915131,450.60957115,477.57331804,555.0105804,653.86435562,707.77070601,739.70986054
Seychelles,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,4.605,3.16666666666667,3.34333333333333,3.700625,3.9175,7.07154017857143,12.969725,3.04130014341389,4.23200100157119,10.7383144735736
Sierra Leone,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,210679.37279884,234712.22460221,290616.818642,321643.04178103,383670.51949468,443281.70217002,537219.34181882,724111.20902956,815402.53773453,995475.00912317
Sierra Leone,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,199588.05308591,221424.55019108,255078.31906673,294682.0623232,333324.12316241,383298.7238463,486437.84312389,631511.56993485,707501.43774595,902941.10345523
Sierra Leone,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,15.6725,26.1408333333333,22.9775,17.7108333333333,18.4077083333333,15.4808333333333,10.4715833333333,17.2116666666667,24.445,22.396875
Singapore,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,0.646666666666667,0.963333333333333,2.0625,2.95833333333333,2.35416666666667,0.91,0.335833333333333,0.335,0.2875,0.274166666666667
Slovak Republic,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,102546.365,109900,130111,143518,155154,77013,,,,
Slovak Republic,Currency In Circulation,International Financial Statistics (IFS),Published,Euros,Millions,,,,,,,7597,7896,8326,8444
Slovenia,Currency In Circulation,International Financial Statistics (IFS),Published,Euros,Millions,,,,,2947,3255,3536,3686,3893,3997
Slovenia,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,6.53333333333333,4.165,3.66083333333333,3.2975,3.89583333333333,3.875,1.14,0.5475,1.0875,1.10416666666667
Solomon Islands,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,218.917,376.696,452.456,481.21976484,451.7011343,440.63759459,717.18623711,1263.29032786,1659.48763288,2054.41869653
Solomon Islands,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,107.999,130.934,156.657,187.19984613,244.54514703,272.54402906,326.06308562,436.41449707,526.44596589,599.21249143
Solomon Islands,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,5.84694444444445,6,4.53283333333333,3.40916666666667,3.16929166666667,3.20083333333333,3.99916666666667,3.70816666666667,2.52513888888889,1.42258333333333
South Africa,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,61994.623,71179.427,79553.567,95948.106,110028.7979381,119559.8379205,124291.8498767,135853.4554253,156550.8898382,174103.0759886
South Africa,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,44670.764,48830.48,54236.646,63575.19,68195.6501522,72696.6920736,77679.058806,82500.8336366,101394.0219541,112169.0156812
South Africa,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,10.665,7.5325,6.90583333333333,7.33916666666667,9.115,10.8075,7.85083333333333,6.42,5.4875,5.28583333333333
South Sudan,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,,,,,,,,,4749.65982053,5115.89313449
South Sudan,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,,,,,,,,,2115.39475704,2184.93317359
South Sudan,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,,,,,,,,,,3
Spain,Currency In Circulation,International Financial Statistics (IFS),Published,Euros,Billions,46.376,52.701,59.356,65.929,70.92,79.438,91.741,95.502,100.71,103.323
Spain,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,2.21416666666667,2.16583333333333,2.19333333333333,3.25833333333333,4.07,3.7125,0.995833333333334,1.69333333333333,3.035,2.66333333333333
Sri Lanka,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,8.09166666666667,7.71416666666667,9.02666666666667,10.9841666666667,16.6033333333333,18.9141666666667,12.9341666666667,8.56583333333334,7.62916666666667,12.095
St. Kitts and Nevis,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,173.930856,211.938109,193.467612,240.683573,259.40726,274.395916,344.778417,420.509820532127,577.238363619871,553.47112037895
St. Kitts and Nevis,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,56.634255,60.605262,65.778597,78.25991,83.568774,96.100134,102.212382,124.735837532127,125.491102239871,135.31200037895
St. Kitts and Nevis,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,7.16666666666667,7,7,7,7,7,6.85416666666667,6.75,6.75,6.75
St. Lucia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,282.075013,337.823064,298.346532,337.158999,365.07118,384.710289,403.424206,442.487411252451,459.866232850353,525.646712191437
St. Lucia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,132.32095,140.469959,161.719694,179.268972,187.131505,211.846913,198.138111,212.166374252451,237.640834280353,246.656741091437
St. Lucia,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,5.435546875,5.5,4.6375,5.16666666666667,5.65,5.6,5.2,4.5,4.45,5.10416666666667
St. Vincent and the Grenadines,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,160.057353,169.7342,172.994245,194.90783,231.423182,227.343626,184.608715,282.059276197378,241.595866690526,275.554723657682
St. Vincent and the Grenadines,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,84.682697,88.646599,103.980611,101.399421,121.349839,115.487387,89.655601,74.9018121973784,74.8221097405256,80.5305601576825
St. Vincent and the Grenadines,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,5.73,4.60458333333333,4.84666666666667,5.615,5.745,5.5625,5.66916666666667,4.92216666666667,4.16316666666667,3.9635
Sudan,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,3605.9065,4621.7317,6409.9516,7818.5579,8848.93739,10845.46853,13909.36873,16570.20732,21067.48011,30445.35154
Sudan,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,2520.525,3196.876,3982.4182,5670.7774,6221.78598,7339.1467,8832.35321,10897.23893,13660.17516,17869.90515
Suriname,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Thousands,449962.39865349,528537.01862,570104.27443,759818.49938,992618.78068,1110765.25,1461323.16824,1662951.15713,1795054.02546,2416978.94732
Suriname,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Thousands,237657.51035927,285631.78045,321960.25194,388838.43741,472413.06627,566815.68,669702.6347,789355.82252,815921.26455,976732.61
Swaziland,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,522.131,482.385304,496.51811413,566.51186645,758.50269122,943.53915181,1305.0524,1171.31898966,1781.20251009,1794.27372351
Swaziland,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,285.653,301.661067,341.20954563,378.50929747,407.939307,416.18753286,507.6557,563.52157779,540.89833091,642.78145689
Swaziland,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,10.6133333333333,7.94083333333333,7.075,7.54416666666667,9.03166666666667,10.7733333333333,7.9325,6.60083333333333,6.0725,6.87416666666667
Sweden,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,109.434,109.507,111.325,112.501,114.467,319.072,281.826,110.543,117.011,122.594
Sweden,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,108.94,108.894,111.075,112.38,114.324,112.273,110.663,105.401,100.136,96.441
Sweden,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,3.03283333333333,2.10916666666667,1.71666666666667,2.33166666666667,3.5525,3.905,0.399166666666667,0.504166666666667,1.65416666666667,1.25333333333333
Switzerland,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,0.159,0.366666666666667,0.7125,1.36166666666667,2.1625,1.33375,0,0.0266666666666667,-0.143333333333333,-0.309166666666667
Syrian Arab Republic,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,377685,472825.928,509241,558545.27,648705.698172233,763771.14339776,870315.105081086,931045.300494155,,
Syrian Arab Republic,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,294367,344330.183,407373,411394.39,441376.730805,492718.770977,520316.41841315,577059.780109,,
Tajikistan,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,304.274359,508.88242,817.602625,1017.437878,1437.859618,1862.00431685,2589.70367125,2992.93759286,3828.90019638,4534.25384368
Tajikistan,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,243.291493,426.82908,711.497014,880.132634,1115.536605,1565.925258,2041.265343,2421.353901,2988.267362,3667.249937
Tajikistan,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,,,,,,,7,6.72083333333333,7.39875,4.955
Tanzania,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,825.79184420532,999.9856664261,1284.68541465613,1504.12446403749,1879.04764149248,2276.4370874842,3009.06230497313,3497.84976386687,4111.91706001846,4525.589692729
Tanzania,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,619.03823105122,759.99495832398,981.4200927556,1162.87707240697,1354.60383456708,1710.16062217299,1896.84325177791,2298.6350108504,2694.16950221275,2909.99777356096
Tanzania,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,6.25583333333333,8.345375,10.6670833333333,11.638875,13.38275,8.11333333333333,7.14375,3.86610833333333,6.37110833333333,12.7082875
Thailand,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,691.07480284629,776.71703763596,816.01238489993,833.99703132815,899.2421771343,1002.17131783453,1063.96246084116,1201.17030881884,1319.51590604381,1447.82696509543
Thailand,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,636.50591196006,714.64893291494,753.25165215436,773.84224520827,842.62389039188,923.96701011935,1005.88409677016,1114.51751605949,1248.56945889977,1350.93187046583
Thailand,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,1.35420365284604,1.30345984186205,2.67253394861689,4.6558851589898,3.47881804120868,3.18882786464267,1.24,1.44166666666667,2.87333333333333,2.965
"Timor-Leste, Dem. Rep. of",Monetary Base,International Financial Statistics (IFS),Published,US Dollars,Millions,6.92625144,6.571999,6.311795,8.20597335,20.27112561,25.52733445,56.25251424,54.7605,34.48721573,99.89223067
"Timor-Leste, Dem. Rep. of",Currency In Circulation,International Financial Statistics (IFS),Published,US Dollars,Millions,0.60309365,1.104499,1.789993,1.81078939,2.27269652,2.45365118,2.80110428,3.3738,3.86342169,4.76884847
Tonga,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Thousands,46046.708,73509.208,62578.574,70370.383,81234.468,79868.52,102431.14,118175.535,157134.448,191070.657275
Tonga,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Thousands,21701.869,24915.543,25659.38,27860.21,32306.873,31660.874,33956.738,35759.682,39736.451,44899.08132
Trinidad and Tobago,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,6156.37074069,5959.47717779,8610.07913829,9956.87833151,11177.64102018,15897.97701645,21996.92046705,24870.61845657,28795.90323619,33735.40636255
Trinidad and Tobago,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,2294.699,2554.236,2991.44653675,3560.42197107,4205.38082368,4486.32678109,4856.18634368,5300.60610549,5938.74400493,6648.31105535
Trinidad and Tobago,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,4.71166666666667,4.77166666666667,4.86416666666667,6.07,6.91333333333333,7.01166666666667,2.68833333333333,0.845833333333333,0.53,0.365
Turkey,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,25651.158648,33848.92980095,47628.06654779,61114.41215201,66626.36263,85138.28,85928.74793769,105261.78783804,146442.991309,190104.4687
Turkey,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,10675.5276,13465.237,19612.0188,26815.1506,27429.3889,31743.43,38340.2781,48937.5599,55103.1736,60525.4821
Turkey,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,34.8983333333333,22.0758333333333,15.4858333333333,18.365,17.645,,,,,
Uganda,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,767.052179493,924.571085441,1051.212874311,1226.598927999,1543.533839495,1926.960890525,2181.520200386,2878.521807869,3301.30517516,3976.335476725
Uganda,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,623.770635406,696.508740758,832.73502179,1026.340281185,1199.97641206,1487.710321437,1595.249361945,2103.786046337,2487.282601297,2683.767933816
Uganda,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,16.8659472822816,9.01795668435572,8.50275524736715,8.11891374720402,9.04906629441131,9.07519503849373,7.10467666307702,5.01365106608655,14.6086115773816,15.6991158141965
Ukraine,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,40089.39661416,53763.17489711,82759.69061417,97214.16008585,141901.07405333,186670.88647638,194965.2738745,225691.78863857,239884.84283916,255283.3805496
Ukraine,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,36048.13969374,45669.10125705,65409.13477644,82133.32517223,122470.43654213,167537.98891802,170535.84264068,200092.48778425,209565.08308653,222785.68408226
United Kingdom,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,3.55485,4.42973333333333,4.55113333333333,4.64814166666667,5.524275,4.30448333333333,0.5265,0.496325,0.485858333333333,0.312816666666667
United States,Monetary Base,International Financial Statistics (IFS),Published,US Dollars,Billions,713.532,744.764,779.545,802.676,814.288,1683.205,1941.723,1969.966,2674.653,2679.994
United States,Currency In Circulation,International Financial Statistics (IFS),Published,US Dollars,Billions,689.757,719.436,758.358,783.019,791.691,849.716,889.678,943.749,1034.52,1124.578
United States,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,1.01333333333333,1.37333333333333,3.15166666666667,4.72166666666667,4.41,1.46,0.16,0.134166666666666,0.0574999999999999,0.0874999999999999
Uruguay,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,14307.97445185,15827.32249474,24589.92065646,27111.7145693,31548.18104683,40788.25293108,43425.72374314,50481.62614906,59219.0213767868,75033.8218226973
Uruguay,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,12244.31280559,14170.28854373,17285.03427388,22064.65242176,24617.29820305,28262.63110892,31980.09000515,38163.89662393,45188.736725,52876.503252
Uruguay,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,32.5288333333333,14.75025,4.1355,4.53791666666667,7.10558333333333,10.04725,11.8675833333333,9.05858333333333,8.77441666666667,9.40075
Vanuatu,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,4825.305,5292.084,5933.656,7918.565,8805.837,9277.429,9420.87163,11156.674655,11880.800615,12992.102068
Vanuatu,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,2555.888,2964.165,3374.576,3898.192,4688.158,5004.102,5281.733649,5873.221293,6572.077505,6962.460436
"Venezuela, Republica Bolivariana de",Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,12964.922,17091.552,23344.328,44317.534164818,65608.7364070584,83885.69619508,104407.65435333,128448.225969,192748.56396598,275578.22396866
"Venezuela, Republica Bolivariana de",Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,5744.732,7952.622,10776.693,15489.977848586,20568.791604233,28317.6334641,36411.76634128,46470.2307277,58675.65312087,92903.66583831
Vietnam,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,5.82666666666667,5.6916675,6.12666666666667,4.72845238095238,4.15305666666667,12.129583,8.03833333333333,11.145,12.35,8.81625
West Bank and Gaza,Monetary Base,International Financial Statistics (IFS),Published,US Dollars,Millions,479.01,530.04,539.55,492.59863391,685.17436161,1089.5723,1188.5703668,1055.12215905,919.08907296,994.43893287
West Bank and Gaza,Currency In Circulation,International Financial Statistics (IFS),Published,US Dollars,Millions,0,0,0,0,0,0,0,0,0,0
"Yemen, Republic of","Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,12.9191666666667,13.835,14.8941666666667,15.6466666666667,15.8575,15.2016666666667,13.4725,20.9191666666667,22.8741666666667,22.17
Zambia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,1446.24983978579,1913.44412733668,2280.75688765763,3249.1304811823,3554.92911596285,4605.64246531,4714.89625478599,7147.96491183321,5531.6767,8377.77182234582
Zambia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,670.43562962861,815.49555529689,961.95408049635,1224.16794781688,1513.40434826457,1931.85935849,1999.08023964318,2747.92028819626,3405.6701,3839.63143434558
Zambia,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,29.9748006944445,12.6035712962963,16.3161701388889,10.3677522916667,11.951109375,13.4674478819444,15.3943661458333,6.27859895833333,9.55310822916667,10.1273915625
Zimbabwe,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,52.7245833333333,125.676666666667,185.1075,322.355991666667,248.766666666667,,,,,
Eastern Caribbean Currency Union,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,1441.947344,1640.59538663,1550.65972338,1743.640798,1900.276417,1847.500615,1909.779129,2172.85426872,2459.871751,2622.388639
Eastern Caribbean Currency Union,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,608.199535,662.89504407,732.82827764,783.314431,842.09005,878.283115,835.549461,833.87745382,875.978652,895.496127
