Country,Concept,Data Source,Status,Unit,Scale,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Canada,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,2.87008333333333,2.21991666666667,2.72608333333333,4.03416666666667,4.15166666666667,2.39,0.35,0.5975,0.921666666666667,0.9725
Central African Republic,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,72.793,83.845,98.381,83.842,68.298,82.77,105.93,108.357,117.196,114.422
Central African Republic,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,71.88,83.325,92.25,82.674,62.419,76.487,86.425,98.78,110.801,110.789
Chad,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,136.056,148.628,194.435,302.015,324.923,399.353,367.508,448.436,509.892,555.894
Chad,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,123.4,128.521,171.677,235.18,262.346,343.935,309.996,368.399,400.33,428.387
Chile,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,7381.50593,8275.46477,2928.169331564,3405.611237188,3672.15331516,4229.786934355,4582.203518024,5525.857540433,6855.602389614,7890.360355966
Chile,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,1917.726,2143.372,2466.319196116,2823.073145064,3315.835636981,3685.750864267,4189.634862434,4748.482912975,5265.742562889,6195.118184829
"China, P.R.: Hong Kong","Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,-0.08,0.07,3.65,3.29,1.96,0.05,0.07,0.28,0.22,0.05
"China, P.R.: Macao",Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,4678.62900000001,5370.78699999998,5775.289,6943.738,8233.599,9238.862,17123.195,19736.698,23697.041,31571.212
"China, P.R.: Macao",Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,2507.55000000001,2933.67399999998,3250.012,3806.887,4458.052,5016.595,5572.843,6054.427,7067.228,8806.771
Colombia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,16614.631928,19261.618162,22804.646458,27032.198114,32415.323119,36194.903794,39546.60889,44877.585722,51341.92926,56464.373254
Colombia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,14770.727766,16688.105339,19639.067877,24462.867257,27461.345213,30541.262458,32304.680337,36707.374358,41188.186036,43864.664778
Comoros,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,27997.630675,27550.642196,27175.18163,26898.806218,28567.198799,31632.650004,37042.587872,39193.427407,45099.147081,53589.48546
Comoros,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,11615.431835,11895.493142,11599.203562,12926.040873,13698.367285,13972.312884,16049.970635,19616.217521,22135.681008,24455.78796
"Congo, Democratic Republic of",Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,68765.187207,116679.600207,133640.426023979,206000.202204979,283235.25958027,378371.94512795,467683.2409959,611028.79773767,792239.14080056,843832.37389778
"Congo, Democratic Republic of",Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,65896.799,105888.509,123793.722736,185333.765409,243784.78319078,320274.19696418,394659.39043551,510071.292879,647486.8599912,642560.17910518
"Congo, Republic of",Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,182.556,221.071,374.305,457.375,557.651,803.552510953,723.469,841.577,1153.735,1356.5
"Congo, Republic of",Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,141.507,165.413,230.788,296.065,334.323,431.560254059,434.645,483.506,564.028,621.561
Costa Rica,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,1450.00113300395,1603.85481277599,2072.85802966986,2710.28293415006,3245.92974820703,3184.30758917525,3347.42948962189,3410.83738012875,3915.21021496543,4557.91675124426
Costa Rica,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,275.36710461325,277.73615851095,332.16857552095,413.18298891445,546.26150052495,575.00268404145,612.9945237291,665.0455334818,743.0861710743,844.77396531425
Croatia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,37289.78030825,44708.68634025,53898.03257218,62920.89095374,66197.6483192,57765.09910349,61199.39865967,61142.78543309,68098.62873842,66951.43709668
Croatia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,12256.30917577,12826.64464071,14374.53825123,17307.27121397,19313.24114754,20479.27362439,18941.72263308,19311.46179996,20943.01273666,21627.9291866
Cyprus,Currency In Circulation,International Financial Statistics (IFS),Published,Euros,Millions,,,,,,1452,1537,1607,1696,1739
Cyprus,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,3.51,4.4425,4.3375,2.5633333333,3.59,,,,,
Czech Republic,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,279.574,289.545,311.443,358.014,393.732,516,439.576,449.322,476.288,565.726
Czech Republic,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,247.362,261.429,287.762,321.495,353.09,398.536,386.473,390.805,410.933,421.426
Czech Republic,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,2.28783333333333,2.26483333333333,1.94825,2.13562983333333,2.83855391666667,3.62,1.29,0.946766666666667,0.832737666666667,0.616806253931409
Denmark,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,66.283,61.452,71.041,69.644,72.267,92.609,91.602,83.484,99.545,189.231
Denmark,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,49.685,52.039,56.217,59.767,61.553,61.283,60.76,62.542,62.407,65.805
Dominica,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,126.639228,117.752997,123.481063,147.979331,157.595183,134.31557,150.265213,161.902060152112,185.851407334232,211.409287559247
Dominica,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,50.897964,52.816304,57.257784,62.421899,67.907959,63.292964,70.991124,67.843547152112,67.2399610742316,63.8926810792467
Dominica,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,4.34583333333333
Dominican Republic,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,86787.071,97313.789,156683.47756321,154615.29712059,176691.7985908,181787.41631231,187280.05094887,209752.97772236,225928.485729083,229706.82321564
Dominican Republic,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,37579.5,40678.542,49910.57705096,53498.19547173,62290.89378464,62470.42487471,70162.31017727,74032.25870063,78220.53934212,86506.74635018
Ecuador,Monetary Base,International Financial Statistics (IFS),Published,US Dollars,Millions,629.083482,722.98,1071.2,1204.5,1620.71,2393.13,2355.236829,2205.449733,2466.014784,3376.97201
Ecuador,Currency In Circulation,International Financial Statistics (IFS),Published,US Dollars,Millions,49.714886,58.1,62.75,65.95,71.42,77.32,77.364671,82.432862,83.197874,84.516947
Egypt,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,155065.1,134576.976968,197385.554085,272402.725941,325345.2991,291060.2509,296302.0484,333295.7581,259872.2119,268322.4196
Egypt,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,56430.3,63363.392315,73172.991585,87961.871441,103673.9189,121280.8378,134039.2103,153209.3448,187291.8789,216301.0184
Egypt,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,6.9,9.9,8.572,9.534,6.852,11.369,9.842,9.277,13.95,12.964
El Salvador,Monetary Base,International Financial Statistics (IFS),Published,US Dollars,Millions,2230.514,2086.632,2063.137,2129.72,2603.165,2670.42,2725.255,2697.786,2524.855,2416.917
El Salvador,Currency In Circulation,International Financial Statistics (IFS),Published,US Dollars,Millions,41.922,36.302,34.492,33.829,33.321,33.056,32.93,4.775,4.564,4.355
Equatorial Guinea,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,118.446,150.882,267.652,282.61375,359.02775,323.516,501.157,597.433,695.33,1435.775
Equatorial Guinea,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,40.175,53.054,66.847,79.248,93.986,104.702,143.647,182.936,250.57,278.794
Eritrea,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,5859.5976446,6228.9425776,6690.74705676,7004.16501259,8241.00004269,10436.35743343,12835.82314531,14995.11836061,16500.46401586,
Eritrea,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,3318.92719006,3824.44876772,4128.81294481,3974.78333769,4595.0331757,5822.44052399,7584.25925917,8694.95865574,11104.62421093,
Estonia,Currency In Circulation,International Financial Statistics (IFS),Published,Euros,Millions,,,,,,,,,2118,2180
Ethiopia,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,1.308,0.5645,0.247579023829062,0.0847475322467493,0.93051494816441,0.679136667869889,,,,
Euro Area,Currency In Circulation,International Financial Statistics (IFS),Published,Euros,Billions,450.521,517.281,582.661,647.083,697.124,784.662,829.281,863.719,913.625,938.173
Fiji,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,598.440882,519.61960096,531.18303854,660.15606799,921.91150503,634.44491958,955.04964058,1164.8319636,1392.64664233,1551.66877492
Fiji,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,269.55,303.53832055,339.77026935,354.19250132,381.5393975,390.34959666,430.97566884,479.45533143,496.29473999,558.37512038
Fiji,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,1.0111220043573,1.52192565359477,1.936278959324,7.44987634599118,4.54904825307605,0.224468075733806,6.06791666666666,3.44875,2.19795833333333,0.565
Finland,Currency In Circulation,International Financial Statistics (IFS),Published,Euros,Millions,7215,8643,9738,10817,11578,12992,13817,14392,15184,15598
France,Currency In Circulation,International Financial Statistics (IFS),Published,Euros,Millions,84978,97834,110171,122377,131196,147302,153733,160097,168950,173530
France,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,2.27554166666667,2.02490833333333,2.07104166666667,2.88915,3.86405,3.61893333333333,0.647225,0.376258333333334,0.693358333333333,0.0493333333333333
Gabon,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Billions,215.437,264.918,382.44,461.741,515.029,701.195,674.527,743.907,950.185,993.247
Gabon,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Billions,151.199,168.936,237.956,270.537,290.252,317.025,340.442,334.623,403.005,426.002
"Gambia, The",Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,1855.88251578,2378.99805079,2306.58829469,2866.46760031,2744.54664735,2902.13586599,3171.43083288,3503.31941083,3933.01092099,4202.94907565
"Gambia, The",Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,1250.85323849,1703.323396,1537.54821161,2087.16899576,1893.50183582,2050.1670118,2216.7213074,2436.39389431,2700.48825043,3183.80993669
"Gambia, The","Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,26.5,30.75,22.5,14.1416666666667,13.46,13.3166666666667,14.3308333333333,13.16,11.8125,12.4591666666667
Georgia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,589.940686,866.658713,1007.368047,1272.098537,1793.80201,1642.080787,1874.96135402,2081.1287516434,2901.0719750399,3255.3136593824
Georgia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,473.242044,676.157485,811.399908,929.537877,1310.487594,1290.703285,1457.93794995,1618.17955992,1753.58447165,1918.05888779
Georgia,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,44.2625,19.1591666666667,11.61666667,,,,5.98,9.55415542698719,9.68406666666667,6.76
Germany,Currency In Circulation,International Financial Statistics (IFS),Published,Euros,Billions,125.914,141.321,159.108,176.705,190.09,213.297,208.414,217.176,229.217,235.577
Germany,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,1.975,2.00416666666667,2.02916666666667,3.08333333333333,3.806666,,,,,
Ghana,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Millions,853.521264197998,1003.57449389755,1074.28493110463,1463.46518359133,1998.87134319,2553.7541820328,3552.20506051,4779.04152142,6256.11984151,8508.06154829
Ghana,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Millions,667.97,767.39,852.05,1090.75,1470.59,1872.252,2343.80201109,3262.7187123,4244.26819816,5555.47203212
Ghana,"Interest Rates, Government Securities, Treasury Bills",International Financial Statistics (IFS),Published,Percent per Annum,Units,27.2458333333333,16.565125,14.8920416666667,9.94675,9.66375,16.9616666666667,23.7641666666667,,10.4141666666667,17.7908333333333
