Country,Time,Unit,Data Source,Status,Scale,"Interest Rates, Government Securities, Government Bonds","Interest Rates, Government Securities, Government Bonds, Short-term","Interest Rates, Government Securities, Government Bonds, Medium- and Long-term"
Ethiopia,2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,4,,
Ethiopia,2008,Percent per Annum,International Financial Statistics (IFS),Published,Units,4,,
Euro Area,2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.14079166666667,,
Euro Area,2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.440875,,
Euro Area,2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.85951666666667,,
Euro Area,2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.33176666666667,,
Euro Area,2008,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.35503333333333,,
Euro Area,2009,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.0301,,
Euro Area,2010,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.784725,,
Euro Area,2011,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.31229166666667,,
Euro Area,2012,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.05313333333333,,
Euro Area,2013,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.01336666666667,,
Fiji,2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,2.55,,
Fiji,2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,2.74,,
Fiji,2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.75,,
Fiji,2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,6.87,,
Fiji,2008,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.91207925636008,,
Fiji,2009,Percent per Annum,International Financial Statistics (IFS),Published,Units,8.13,,
Fiji,2012,Percent per Annum,International Financial Statistics (IFS),Published,Units,4,,
Fiji,2013,Percent per Annum,International Financial Statistics (IFS),Published,Units,4,,
Finland,2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.11,,
Finland,2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.35166666666667,,
Finland,2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.78333333333333,,
Finland,2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.29254542557714,,
Finland,2008,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.28973224815167,,
Finland,2009,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.73884547340849,,
Finland,2010,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.01290969807589,,
Finland,2011,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.00587516233766,,
Finland,2012,Percent per Annum,International Financial Statistics (IFS),Published,Units,1.88419111896212,,
Finland,2013,Percent per Annum,International Financial Statistics (IFS),Published,Units,1.8617702625993,,
France,2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.09833333333333,,
France,2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.41,,
France,2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.79666666666667,,
France,2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.30416666666667,,
France,2008,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.23416666666667,,
France,2009,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.64919166666667,,
France,2010,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.1171,,
France,2011,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.32121666666667,,
France,2012,Percent per Annum,International Financial Statistics (IFS),Published,Units,2.53618333333333,,
France,2013,Percent per Annum,International Financial Statistics (IFS),Published,Units,2.20378333333333,,
Germany,2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.03666666666667,,
Germany,2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.35333333333333,,
Germany,2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.7625,,
Germany,2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.21666666666667,,
Germany,2008,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.98416666666667,,
Germany,2009,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.2225,,
Germany,2010,Percent per Annum,International Financial Statistics (IFS),Published,Units,2.74333333333333,,
Germany,2011,Percent per Annum,International Financial Statistics (IFS),Published,Units,2.60666666666667,,
Germany,2012,Percent per Annum,International Financial Statistics (IFS),Published,Units,1.495,,
Germany,2013,Percent per Annum,International Financial Statistics (IFS),Published,Units,1.57,,
Ghana,2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,21.5,,
Ghana,2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,20.5375,,
Ghana,2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,16.4222222222222,,
Ghana,2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,12.7063888888889,,
Ghana,2008,Percent per Annum,International Financial Statistics (IFS),Published,Units,14.8883333333333,,
Ghana,2011,Percent per Annum,International Financial Statistics (IFS),Published,Units,13.425,,
Ghana,2012,Percent per Annum,International Financial Statistics (IFS),Published,Units,20.4141666666667,,
Ghana,2013,Percent per Annum,International Financial Statistics (IFS),Published,Units,18.4033333333333,,
Greece,2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.25583333333333,,
Greece,2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.585,,
Greece,2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.07,,
Greece,2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.5,,
Greece,2008,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.8025,,
Greece,2009,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.17416666666667,,
Greece,2010,Percent per Annum,International Financial Statistics (IFS),Published,Units,9.09166666666666,,
Greece,2011,Percent per Annum,International Financial Statistics (IFS),Published,Units,15.7491666666667,,
Greece,2012,Percent per Annum,International Financial Statistics (IFS),Published,Units,22.4983333333333,,
Greece,2013,Percent per Annum,International Financial Statistics (IFS),Published,Units,10.0541666666667,,
Honduras,2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,11.6716666666667,,
Honduras,2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,11.3158333333333,,
Honduras,2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,7.867375,,
Honduras,2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,7.69901666666667,,
Hungary,2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,8.18916666666667,,
Hungary,2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,6.59916666666667,,
Hungary,2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,7.11583333333333,,
Hungary,2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,6.74416666666667,,
Hungary,2008,Percent per Annum,International Financial Statistics (IFS),Published,Units,8.23833333333333,,
Hungary,2009,Percent per Annum,International Financial Statistics (IFS),Published,Units,9.12333333333332,,
Hungary,2010,Percent per Annum,International Financial Statistics (IFS),Published,Units,7.282125,,
Hungary,2011,Percent per Annum,International Financial Statistics (IFS),Published,Units,7.63515833333333,,
Hungary,2012,Percent per Annum,International Financial Statistics (IFS),Published,Units,7.89083333333333,,
Hungary,2013,Percent per Annum,International Financial Statistics (IFS),Published,Units,5.92333333333333,,
