Country,Concept,Data Source,Status,Unit,Scale,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Congo, Republic of",Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,230788000000,296065000000,334323000000,431560254059,434645000000,483506000000,564028000000,621561000000,682332000000
Costa Rica,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,2072858029669.86,2710282934150.06,3245929748207.03,3184307589175.25,3347429489621.89,3410837380128.75,3915210214965.43,4557916751244.26,5414682469969.71
Costa Rica,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,332168575520.95,413182988914.45,546261500524.95,575002684041.45,612994523729.1,665045533481.8,743086171074.3,844773965314.25,921450814198.75
Croatia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,53898032572.18,62920890953.74,66197648319.2,57765099103.49,61199398659.67,61142785433.09,68098628738.42,66951437096.68,67405000000
Croatia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,14374538251.23,17307271213.97,19313241147.54,20479273624.39,18941722633.08,19311461799.96,20943012736.66,21627929186.6,21985000000
Dominica,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,123481063,147979331,157595183,134315570,150265213,161902060.152112,185851407.334232,211409287.559247,218524042.273154
Dominica,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,57257784,62421899,67907959,63292964,70991124,67843547.152112,67239961.0742316,63892681.0792467,62802791.7931542
Dominican Republic,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,156683477563.21,154615297120.59,176691798590.8,181787416312.31,187280050948.87,209752977722.36,225928485729.083,229706823215.64,254900742220.95
Dominican Republic,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,49910577050.96,53498195471.73,62290893784.64,62470424874.71,70162310177.27,74032258700.63,78220539342.12,86506746350.18,93747168517.34
Ecuador,Monetary Base,International Financial Statistics (IFS),Published,US Dollars,Units,1071200000,1204500000,1620710000,2393130000,2355236829,2205449733,2466014784,3376972010,4852995722
Ecuador,Currency In Circulation,International Financial Statistics (IFS),Published,US Dollars,Units,62750000,65950000,71420000,77320000,77364671,82432862,83197874,84516947,87330005
Egypt,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,197385554085,272402725941,325345299100,291060250900,296302048400,333295758100,259872211900,268322419600,406069005300
Egypt,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,73172991585,87961871441,103673918900,121280837800,134039210300,153209344800,187291878900,216301018400,264882078300
El Salvador,Monetary Base,International Financial Statistics (IFS),Published,US Dollars,Units,2063137000,2129720000,2603165000,2670420000,2725255000,2697786000,2524855000,2416917000,2666577000
El Salvador,Currency In Circulation,International Financial Statistics (IFS),Published,US Dollars,Units,34492000,33829000,33321000,33056000,32930000,4775000,4564000,4355000,4110000
Equatorial Guinea,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,267652000000,282613750000,359027750000,323516000000,501157000000,597433000000,695330000000,1435775000000,1254275000000
Equatorial Guinea,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,66847000000,79248000000,93986000000,104702000000,143647000000,182936000000,250570000000,278794000000,310149000000
Eritrea,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,6690747056.76,7004165012.59,8241000042.69,10436357433.43,12835823145.31,14995118360.61,16500464015.86,,
Eritrea,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,4128812944.81,3974783337.69,4595033175.7,5822440523.99,7584259259.17,8694958655.74,11104624210.93,,
Fiji,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,531183038.54,660156067.99,921911505.03,634444919.58,955049640.58,1164831963.6,1392646642.33,1551668774.92,1667358235.78
Fiji,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,339770269.35,354192501.32,381539397.5,390349596.66,430975668.84,479455331.43,496294739.99,558375120.38,572070297.91
Gabon,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,382440000000,461741000000,515029000000,701195000000,674527000000,743907000000,950185000000,993247000000,899526000000
Gabon,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,237956000000,270537000000,290252000000,317025000000,340442000000,334623000000,403005000000,426002000000,467462000000
"Gambia, The",Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,2306588294.69,2866467600.31,2744546647.35,2902135865.99,3171430832.88,3503319410.83,3933010920.99,4202949075.65,5382565418.7
"Gambia, The",Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,1537548211.61,2087168995.76,1893501835.82,2050167011.8,2216721307.4,2436393894.31,2700488250.43,3183809936.69,3635453180.3
Georgia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,1007368047,1272098537,1793802010,1642080787,1874961354.02,2081128751.6434,2901071975.0399,3255313659.3824,3989083316.8152
Georgia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,811399908,929537877,1310487594,1290703285,1457937949.95,1618179559.92,1753584471.65,1918058887.79,2351552551.23
Ghana,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,1074284931.10463,1463465183.59133,1998871343.19,2553754182.0328,3552205060.51,4779041521.42,6256119841.51,8508061548.29,11394699593.69
Ghana,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,852050000,1090750000,1470590000,1872252000,2343802011.09,3262718712.3,4244268198.16,5555472032.12,6197407040.38
Grenada,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,252739601,261898737,303253425,287419994,272991175,269764088.995019,310753122.94392,307634227.523352,378857251.177311
Grenada,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,141319192,140591989,149105062,149400672,148966567,142264355.995019,154359414.25392,156444626.533352,162104469.657311
Guatemala,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,27186476592.7402,31331999501.1001,31551800257.35,37736005515.11,42945845090.94,44921645234.51,48996431997.88,52024658662.92,57301918372.56
Guatemala,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,14261865761.7,15771981880.22,20010777524.52,19665934157.2,21232560233.37,23390255013.7,24532526126.49,26552115974.43,27130286162.84
Guyana,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,48084584473,50310382193,54084244215,57901692819,71848194960,91668426200,98076039958,113010933758,114664456547
Guyana,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,23467645831,28408075425,32876368569,37625569429,41905090005,50327672400,61391956393,67781592340,67198514088
Haiti,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,35377361235.6771,39762669349.8024,44037322227.955,51831084482.8455,57759401691.8513,83300346401.5995,87542314442.8769,95671912387.7841,92334405534.6206
Haiti,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,14205456534.37,14271623154.6,15082655510.84,17927449268.1,18358076969.2,23749129788.27,24503639645.43,26766427672.34,28951583985.49
Honduras,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,38738203111.56,43529580537.5,43482629261.9,43972379716.1,47383481910.7,63648213026.94,69033112076.54,68730509504.79,76105845586.12
Honduras,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,11113449472.41,13592613590.18,16362516642.51,16468427666.6,17705682294.31,19933238078.81,21357774680.51,22149036897.78,23600423782.55
Iceland,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,45302874000,57871291000,169272194000,119469553402,159303296723,130845087280,88388794010,113243629280,116930942270
Iceland,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,13201909000,14512501000,15735426000,24436438000,28957678000,38269478000,43204646000,45142048000,47015508000
Indonesia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,269970875727673,346492472111182,438459841310000,425846665321729,498978712072189,525145396000000,657337184578787,755250658379419,891612465188152
Indonesia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,144869380277387,178572155949245,220785311290000,264390611580163,279028772820114,318575310000000,372972201080506,439720410186126,500020357096028
Iraq,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,13794742000000,17521451000000,28808428000000,42858592000000,45270897000000,54524342000000,60059342000000,65055205000000,73259280000000
Iraq,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,10256511000000,11916555000000,15632225000000,21304418000000,24169401000000,27507328000000,32157444000000,35784805000000,40630036000000
Jamaica,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,69965521000,80764985000,84551363000,110017968000,132095876000,128502880000,140517943000,128498914000,169862567000
Jamaica,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,35644528000,42317322000,47220650000,49025650000,51856183000,56710719000,62646682000,64684140000,69801724000
Japan,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,116640600000000,94777700000000,95978600000000,101261000000000,105847700000000,109507000000000,125078800000000,138474700000000,201847200000000
Japan,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,83772800000000,84365200000000,85855200000000,86068700000000,85510700000000,86855700000000,88546500000000,91230900000000,94769600000000
Kazakhstan,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,649835482397.4,1501328302811.32,1464135775447,1525237605462.44,2450835975054.19,2572217362172.03,2837356313194.2,2889914187185.09,2825960601275.12
Kazakhstan,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,458517869482.77,687256660289.16,859852403806.24,986855615366.75,1047794577634.9,1306208102945.84,1548165969745.79,1736645708913.49,1762906869503.49
Kenya,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,107235516142.06,124676197200.08,156929041749.68,163588920556.66,181956792566.58,222634371457.5,255005666394.95,298874219004.4,320762472138.35
Kenya,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,76820052824.65,89326489800.25,115924311906.75,115730514436.45,124283967113.6,147208960141.7,172234200993.8,187737161157.2,209989797227.65
"Korea, Republic of",Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,43248968000000,51869521000000,56398976000000,64846321000000,67779116000000,74545691000000,80055930000000,88341969400000,104262012400000
"Korea, Republic of",Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,26037401000000,27741774000000,29218860000000,30652256000000,37239045000000,43196980000000,48543186000000,54215913400000,63242309400000
Kuwait,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,1240365400,1763477600,2063322900,1330346200,2979503300,3804062200,4890907900,5787563000,6831906500
Kuwait,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,684621500,804892100,756701200,869139500,943814500,1006657600,1205104800,1339937400,1481254500
Lesotho,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,734143000,680686000,687176000,718448000,1015994000,1048679000,1049489228.81,1203535761.62,1506303405.83
Lesotho,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,297972000,377711000,402221000,481245000,584244000,637786000,843591571.6,998550113.39,1197971045.16
"Macedonia, FYR",Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,28374148422,34017671397.5,41467535918,48035044111.5,51891856106.5,53916831003.5,58879130000,61310060000,58933640563.9649
"Macedonia, FYR",Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,15813000000,17732000000,19894000000,20799000000,19482000034.5,20173000000,22767400000,23979300000,25045400390.625
Malaysia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,52622656080.1,58215585758.07,63898650497.77,68512566999.6,54813947874.48,61261319717.74,96339227543.51,105832135660,115825380572.83
Malaysia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,34396578830.2,37894936815.7,42191663812.13,48042559676.13,51137711553.3,55787428576.51,61874039453.74,67124279340.77,73030832546.51
Maldives,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,2978145255.37,3423554343.94,4374146092.02,5382377276.98,6143919391.07,6064304281.41,7551312223.93,8181857377.12,9628721865.08
Maldives,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,947190698.64,1160714237.23,1322280108.08,1762192031.06,1799721536.15,1871135780.16,2196674027.01,2475540003.32,3252432252.9
Mauritius,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,23513952791.1948,25321868730.9868,28079062895.2088,30640286402.1687,35931503845.11,44935527259.7802,48280871327.6374,52622930014.16,62350012214.78
Mauritius,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,15144043578.64,16350622985,17698017746.91,19943484388.02,21068826188.4,22591761471.84,24469755843.18,26961314001.82,30127650675.85
Mexico,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,380033690761.98,449821288924.98,494743487177.16,577543078498.579,632032406446.03,693423219496.419,763491879175.45,846019426610.1,917875794234.57
Mexico,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,380033690761.98,449821288924.98,494743457277.16,577542277231.599,631937880298.99,693423114043.649,763490940339.37,845395608067.52,917875174866.77
Moldova,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,7517284550,7389447373,11771752229,14781640718,12934339359.79,14085925083.83,17153968189.71,20531141055.57,26077676429.61
Moldova,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,5148886869,5817191027,7603346529,8732080253,9882542272.75,11105960670.83,12016670256.12,14554213757.26,19040704507.61
Mongolia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,281188182000,381792012000,535047702500,633681979444.44,913415937400,1160376646000,1661596728607.92,2168391933000,3337854739728.75
Mongolia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,191640176000,245058525000,364021247000,407155508000,371777510400,519647017000,713304651000,828392940000,841076512000
Montserrat,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,35009174,36628455,35779127,26868549,33230972,39672756.0478245,61191344.1316942,78132329.9772589,100223078.285518
Montserrat,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,16067627,16668039,17428799,14223193,17797435,18797884.0478245,26326012.5716942,29428133.1572589,22803909.1955177
Morocco,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,140818131824.11,160195251350.91,182333970429.41,191260440333.41,183914534045.73,183119910317.99,193881229931.34,195239699784.88,205097964600
Morocco,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,93505127415.47,114233555854.51,125533678378.39,134771580537.24,143139224475.94,152059445333.61,166252990259.8,172493352240.03,182079841900
Mozambique,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,12184764466,14735945716,17821934405,19220421843,24463943137,31618253182,34311097397,41085978164,47537835337
Mozambique,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,7335779834,8789334116,10942178626,11995942790,16117363102,20446601828,21898663590,26242165996,30351146533
Myanmar,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,2074450000000,2655172000000,3393756000000,3708084000000,4665746000000,5700622000000,6671838000000,8366593920000,10050005550000
Myanmar,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,1834042000000,2278134000000,2852869000000,3137666000000,3812737000000,4712306000000,5600838000000,6652060670000,7988108810000
Namibia,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,1372580558.32,1532428507.77,1647687039.29,2350967268.59,2555673072.92,3242267392.6,5507812358.42,4983198507.86,4942286176.35
Namibia,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,1026846330.65,1151444647.5,1323748522.3,1656564168.35,1704928882.81,1908609173.07,2397481424.54,2772538882.19,3373291608.88
Nepal,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,95835142795,109555820388,121843891764.85,158712490786.83,191596150144.64,203972092888.47,271220937816.23,289818897643.68,381845860857.13
Nepal,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,76289602495,84511659327,95498955600,121431098200,150615928438,158849567462,177136242206,207651088325,252087250308.92
Nicaragua,Monetary Base,International Financial Statistics (IFS),Published,National Currency,Units,16305211224,18100189630,18728186483,20835948474,27460889699,34313679559,36492727462,35948107897,41303653311
Nicaragua,Currency In Circulation,International Financial Statistics (IFS),Published,National Currency,Units,4240523057,5024119254,6610813967,6853873385,7619267022,9931407882,11418489539,13232772959,14410534755
