Country,Concept,Unit,Data Source,Status,Scale,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Morocco,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,29430930000,27897044000,30825845000,29921520000,37378297000,48528823166.6667,49128094700,45108719434.1158,48897555264.47,42620178000
Morocco,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,5.6675,5.35083333333333,4.04,3.65,,,4.34,4.35958333333333,4.57208333325,
Mozambique,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Myanmar,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Myanmar,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,9,9,12,12,12,12,12,12,9,9
Namibia,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Namibia,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,12.1070833333333,10.885,9.6075,10.02,10.02,10.02,,,,
Nepal,Currency Issued by Central Government,National Currency,International Financial Statistics (IFS),Published,Units,0,0,0,0,0,0,0,0,0,0
Nepal,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,6.625,6.5,6.125,6,6,6,6,6,6,6
Netherlands,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.09416666666667,3.37416666666667,3.78083333333333,4.28666666666667,4.2275,3.68666666666667,2.99166666666667,2.98916666666667,1.93275,1.9615
Netherlands Antilles,"Interest Rates, Government Securities, Government Bonds",Percent per Annum,International Financial Statistics (IFS),Published,Units,7.09166666666667,6.45833333333333,6.75333333333333,7.315,5.66166666666667,4.81666666666667,,,,
